pokemon,id,species_id,height,weight,base_experience,type_1,type_2,attack,defense,hp,special_attack,special_defense,speed,ability_1,ability_2,ability_hidden,color_1,color_2,color_f,egg_group_1,egg_group_2,url_image,generation_id,evolves_from_species_id,evolution_chain_id,shape_id,shape,pokebase,pokedex
bulbasaur,1,1,7,69,64,grass,poison,49,49,45,65,65,45,overgrow,NA,chlorophyll,#78C850,#A040A0,#81A763,monster,plant,http://assets.pokemon.com/assets/cms2/img/pokedex/full/001.png,1,NA,1,8,quadruped,bulbasaur,http://www.pokemon.com/us/pokedex/bulbasaur
ivysaur,2,2,10,130,142,grass,poison,62,63,60,80,80,60,overgrow,NA,chlorophyll,#78C850,#A040A0,#81A763,monster,plant,http://assets.pokemon.com/assets/cms2/img/pokedex/full/002.png,1,1,1,8,quadruped,ivysaur,http://www.pokemon.com/us/pokedex/ivysaur
venusaur,3,3,20,1000,236,grass,poison,82,83,80,100,100,80,overgrow,NA,chlorophyll,#78C850,#A040A0,#81A763,monster,plant,http://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png,1,2,1,8,quadruped,venusaur,http://www.pokemon.com/us/pokedex/venusaur
venusaur-mega,4,3,24,1555,281,grass,poison,100,123,80,122,120,80,thick-fat,NA,NA,#78C850,#A040A0,#81A763,monster,plant,http://assets.pokemon.com/assets/cms2/img/pokedex/full/003_f2.png,NA,NA,NA,NA,NA,venusaur,http://www.pokemon.com/us/pokedex/venusaur
charmander,5,4,6,85,62,fire,NA,52,43,39,60,50,65,blaze,NA,solar-power,#F08030,NA,NA,monster,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/004.png,1,NA,2,6,upright,charmander,http://www.pokemon.com/us/pokedex/charmander
charmeleon,6,5,11,190,142,fire,NA,64,58,58,80,65,80,blaze,NA,solar-power,#F08030,NA,NA,monster,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/005.png,1,4,2,6,upright,charmeleon,http://www.pokemon.com/us/pokedex/charmeleon
charizard,7,6,17,905,240,fire,flying,84,78,78,109,85,100,blaze,NA,solar-power,#F08030,#A890F0,#DE835E,monster,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png,1,5,2,6,upright,charizard,http://www.pokemon.com/us/pokedex/charizard
charizard-mega-x,8,6,17,1105,285,fire,dragon,130,111,78,130,85,100,tough-claws,NA,NA,#F08030,#7038F8,#D06E60,monster,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/006_f2.png,NA,NA,NA,NA,NA,charizard,http://www.pokemon.com/us/pokedex/charizard
charizard-mega-y,9,6,17,1005,285,fire,flying,104,78,78,159,115,100,drought,NA,NA,#F08030,#A890F0,#DE835E,monster,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/006_f3.png,NA,NA,NA,NA,NA,charizard,http://www.pokemon.com/us/pokedex/charizard
squirtle,10,7,5,90,63,water,NA,48,65,44,50,64,43,torrent,NA,rain-dish,#6890F0,NA,NA,monster,water1,http://assets.pokemon.com/assets/cms2/img/pokedex/full/007.png,1,NA,3,6,upright,squirtle,http://www.pokemon.com/us/pokedex/squirtle
wartortle,11,8,10,225,142,water,NA,63,80,59,65,80,58,torrent,NA,rain-dish,#6890F0,NA,NA,monster,water1,http://assets.pokemon.com/assets/cms2/img/pokedex/full/008.png,1,7,3,6,upright,wartortle,http://www.pokemon.com/us/pokedex/wartortle
blastoise,12,9,16,855,239,water,NA,83,100,79,85,105,78,torrent,NA,rain-dish,#6890F0,NA,NA,monster,water1,http://assets.pokemon.com/assets/cms2/img/pokedex/full/009.png,1,8,3,6,upright,blastoise,http://www.pokemon.com/us/pokedex/blastoise
